Symbol,Date,Open,High,Low,Close,Adjusted_Close,Volume
AAPL,1/2/2019,154.889999,158.850006,154.229996,157.919998,155.214005,37039700
AAPL,1/3/2019,143.979996,145.720001,142,142.190002,139.75354,91312200
AAPL,1/4/2019,144.529999,148.550003,143.800003,148.259995,145.719513,58607100
AAPL,1/7/2019,148.699997,148.830002,145.899994,147.929993,145.395203,54777800
AAPL,1/8/2019,149.559998,151.820007,148.520004,150.75,148.16687,41025300
AAPL,1/9/2019,151.289993,154.529999,149.630005,153.309998,150.682983,45099100
AAPL,1/10/2019,152.5,153.970001,150.860001,153.800003,151.164627,35780700
AAPL,1/11/2019,152.880005,153.699997,151.509995,152.289993,149.680466,27023200
AAPL,1/14/2019,150.850006,151.270004,149.220001,150,147.429718,32439200
AAPL,1/15/2019,150.270004,153.389999,150.050003,153.070007,150.447128,28710900
AAPL,1/16/2019,153.080002,155.880005,153,154.940002,152.28508,30569700
AAPL,1/17/2019,154.199997,157.660004,153.259995,155.860001,153.189301,29821200
AAPL,1/18/2019,157.5,157.880005,155.979996,156.820007,154.132858,33751000
AAPL,1/22/2019,156.410004,156.729996,152.619995,153.300003,150.673172,30394000
AAPL,1/23/2019,154.149994,155.139999,151.699997,153.919998,151.282547,23130600
AAPL,1/24/2019,154.110001,154.479996,151.740005,152.699997,150.083435,25441500
AAPL,1/25/2019,155.479996,158.130005,154.320007,157.759995,155.056747,33535500
AAPL,1/28/2019,155.789993,156.330002,153.660004,156.300003,153.621765,26192100
AAPL,1/29/2019,156.25,158.130005,154.110001,154.679993,152.02951,41587200
AAPL,1/30/2019,163.25,166.149994,160.229996,165.25,162.418411,61109800
AAPL,1/31/2019,166.110001,169,164.559998,166.440002,163.587997,40739600
AAPL,2/1/2019,166.960007,168.979996,165.929993,166.520004,163.666641,32668100
AAPL,2/4/2019,167.410004,171.660004,167.279999,171.25,168.315582,31495500
AAPL,2/5/2019,172.860001,175.080002,172.350006,174.179993,171.195389,36101600
AAPL,2/6/2019,174.649994,175.570007,172.850006,174.240005,171.254364,28239600
AAPL,2/7/2019,172.399994,173.940002,170.339996,170.940002,168.01091,31741700
AAPL,2/8/2019,168.990005,170.660004,168.419998,170.410004,168.208328,23820000
AAPL,2/11/2019,171.050003,171.210007,169.25,169.429993,167.240967,20993400
AAPL,2/12/2019,170.100006,171,169.699997,170.889999,168.682114,22283500
AAPL,2/13/2019,171.389999,172.479996,169.919998,170.179993,167.981277,22490200
AAPL,2/14/2019,169.710007,171.259995,169.380005,170.800003,168.593292,21835700
AAPL,2/15/2019,171.25,171.699997,169.75,170.419998,168.218201,24626800
AAPL,2/19/2019,169.710007,171.440002,169.490005,170.929993,168.721588,18972800
AAPL,2/20/2019,171.190002,173.320007,170.990005,172.029999,169.807388,26114400
AAPL,2/21/2019,171.800003,172.369995,170.300003,171.059998,168.84993,17249700
AAPL,2/22/2019,171.580002,173,171.380005,172.970001,170.735229,18913200
AAPL,2/25/2019,174.160004,175.869995,173.949997,174.229996,171.978958,21873400
AAPL,2/26/2019,173.710007,175.300003,173.169998,174.330002,172.077667,17070200
AAPL,2/27/2019,173.210007,175,172.729996,174.869995,172.610687,27835400
AAPL,2/28/2019,174.320007,174.910004,172.919998,173.149994,170.912918,28215400
AAPL,3/1/2019,174.279999,175.149994,172.889999,174.970001,172.709381,25886200
AAPL,3/4/2019,175.690002,177.75,173.970001,175.850006,173.578033,27436200
AAPL,3/5/2019,175.940002,176,174.539993,175.529999,173.262161,19737400
AAPL,3/6/2019,174.669998,175.490005,173.940002,174.520004,172.265228,20810400
AAPL,3/7/2019,173.869995,174.440002,172.020004,172.5,170.271317,24796400
AAPL,3/8/2019,170.320007,173.070007,169.5,172.910004,170.676025,23999400
AAPL,3/11/2019,175.490005,179.119995,175.350006,178.899994,176.588608,32011000
